<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,D,20220401,000000,95.9000000,97.9000000,93.2000000,94.0200000,9060610
ALRS,D,20220404,000000,94.9200000,96.3500000,90.0000000,94.7000000,6449130
ALRS,D,20220405,000000,94.7100000,95.5000000,90.3200000,92.7600000,4779560
ALRS,D,20220406,000000,92.9500000,96.0000000,90.3600000,93.5000000,5186870
ALRS,D,20220407,000000,93.5500000,94.4400000,92.0000000,92.8000000,4968910
ALRS,D,20220408,000000,89.4000000,89.7400000,81.0000000,82.5300000,53064120
ALRS,D,20220411,000000,82.8800000,84.4000000,79.5000000,79.5500000,16686860
ALRS,D,20220412,000000,79.9000000,80.0000000,75.0000000,78.4600000,12341770
ALRS,D,20220413,000000,78.8200000,81.0000000,78.8200000,79.9500000,5506170
ALRS,D,20220414,000000,80.0700000,80.5000000,77.1000000,77.3100000,4574750
ALRS,D,20220415,000000,77.4500000,78.9900000,73.6200000,78.9900000,7277680
ALRS,D,20220418,000000,78.9500000,78.9600000,76.0100000,76.0100000,3477250
ALRS,D,20220419,000000,76.2300000,76.9500000,74.2000000,76.7100000,6540660
ALRS,D,20220420,000000,77.4400000,79.9800000,76.5100000,79.0000000,6992390
ALRS,D,20220421,000000,79.2600000,80.9900000,79.2000000,79.9900000,5815050
ALRS,D,20220422,000000,79.9300000,81.3900000,79.0100000,80.1100000,3552940
ALRS,D,20220425,000000,81.0000000,81.5000000,78.5400000,79.6400000,4468820
ALRS,D,20220426,000000,80.1200000,83.2000000,79.1400000,82.2800000,5698190
ALRS,D,20220427,000000,82.2600000,84.6500000,81.7100000,82.5500000,5950790
ALRS,D,20220428,000000,83.2600000,84.4400000,79.0400000,79.1800000,9168310
ALRS,D,20220429,000000,79.7000000,80.8800000,79.1800000,80.3300000,3373490
ALRS,D,20220504,000000,80.5000000,81.4900000,77.2000000,77.3000000,5175510
ALRS,D,20220505,000000,77.7200000,78.8600000,77.0000000,77.5200000,3331600
ALRS,D,20220506,000000,77.6000000,77.8100000,76.2400000,77.2600000,2303520
ALRS,D,20220511,000000,77.8000000,78.2100000,77.0000000,78.1500000,2159800
ALRS,D,20220512,000000,78.2800000,78.3100000,74.9200000,75.8300000,3359400
ALRS,D,20220513,000000,76.0900000,76.6400000,74.4200000,74.4200000,4993160
ALRS,D,20220516,000000,74.5100000,75.2000000,74.4200000,75.0000000,4649370
ALRS,D,20220517,000000,75.0000000,75.5800000,74.6000000,75.0000000,5515330
ALRS,D,20220518,000000,75.4800000,78.9000000,75.2100000,77.3000000,12680850
ALRS,D,20220519,000000,77.5000000,78.4000000,76.1500000,77.2800000,3251400
ALRS,D,20220520,000000,77.5000000,77.8500000,73.3300000,74.0000000,8253080
ALRS,D,20220523,000000,74.7700000,74.9500000,70.2100000,70.6000000,7452980
ALRS,D,20220524,000000,70.5800000,70.5900000,68.2200000,69.2000000,7140160
ALRS,D,20220525,000000,70.0200000,71.9700000,69.6000000,70.3400000,3779720
ALRS,D,20220526,000000,70.6900000,74.0000000,70.6000000,71.8300000,8768730
ALRS,D,20220527,000000,72.6400000,73.8700000,71.9500000,73.8700000,4344770
ALRS,D,20220530,000000,73.9800000,74.8900000,72.0000000,73.5000000,3946180
ALRS,D,20220531,000000,73.4400000,73.9800000,72.5000000,73.8000000,2842430
ALRS,D,20220601,000000,73.7000000,75.6400000,73.5000000,74.8200000,4383800
ALRS,D,20220602,000000,75.1100000,75.3800000,72.2500000,72.9600000,4354840
ALRS,D,20220603,000000,72.9800000,73.1300000,68.0900000,70.1200000,11895810
ALRS,D,20220606,000000,70.1100000,71.8500000,69.2100000,71.2200000,3285440
ALRS,D,20220607,000000,71.1800000,71.4200000,69.1800000,71.0500000,3697040
ALRS,D,20220608,000000,69.8600000,70.8800000,68.0000000,68.0900000,19128470
ALRS,D,20220609,000000,66.8600000,67.6800000,65.0000000,66.0600000,17013060
ALRS,D,20220610,000000,66.1400000,68.1500000,65.1800000,68.0200000,8651470
ALRS,D,20220614,000000,67.5000000,67.5000000,65.8200000,66.8000000,5476750
ALRS,D,20220615,000000,66.7600000,67.3700000,65.8100000,66.7000000,3760590
ALRS,D,20220616,000000,67.0900000,68.0900000,66.6000000,68.0000000,5691870
ALRS,D,20220617,000000,68.0100000,68.5400000,67.5000000,67.9000000,3631260
