<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,20220401,000000,441.0000000,484.0000000,430.3500000,450.0000000,6229594
ROSN,D,20220404,000000,450.3000000,478.0000000,432.0000000,443.9000000,5202613
ROSN,D,20220405,000000,445.6000000,451.1500000,391.4500000,419.0000000,5766225
ROSN,D,20220406,000000,416.1000000,429.4000000,402.0000000,405.0000000,3830992
ROSN,D,20220407,000000,406.9500000,414.0000000,402.0000000,408.5000000,3645861
ROSN,D,20220408,000000,409.5500000,416.0000000,395.3500000,403.0500000,2295945
ROSN,D,20220411,000000,403.5000000,427.9500000,399.0500000,414.0000000,5473292
ROSN,D,20220412,000000,416.8500000,424.0000000,392.0000000,412.1000000,3103890
ROSN,D,20220413,000000,413.2500000,417.5000000,401.5500000,406.0500000,1892680
ROSN,D,20220414,000000,406.1000000,407.5000000,390.7500000,391.0000000,1854938
ROSN,D,20220415,000000,392.4500000,395.9500000,380.0000000,390.5000000,1783321
ROSN,D,20220418,000000,393.0000000,395.0000000,381.5500000,384.8500000,1661402
ROSN,D,20220419,000000,384.8000000,385.2500000,358.5000000,385.0000000,3365722
ROSN,D,20220420,000000,388.0000000,399.3000000,375.0000000,391.0000000,2922953
ROSN,D,20220421,000000,393.3000000,398.7000000,385.0500000,388.0000000,1848019
ROSN,D,20220422,000000,389.1000000,407.3000000,385.7000000,397.3500000,2553263
ROSN,D,20220425,000000,396.7000000,397.0000000,387.7500000,388.5000000,1432689
ROSN,D,20220426,000000,389.9500000,400.9500000,389.5500000,391.0000000,3063368
ROSN,D,20220427,000000,394.3500000,409.9000000,390.7000000,397.9500000,3422606
ROSN,D,20220428,000000,399.3500000,404.8000000,392.1500000,400.0000000,2661526
ROSN,D,20220429,000000,398.1000000,409.9000000,397.0500000,409.0000000,2908983
ROSN,D,20220504,000000,410.0500000,414.8500000,394.6000000,396.2000000,1740542
ROSN,D,20220505,000000,397.2000000,403.0500000,396.8000000,397.0000000,869091
ROSN,D,20220506,000000,395.8000000,398.4000000,391.0000000,392.3000000,829676
ROSN,D,20220511,000000,393.5000000,396.3500000,388.6000000,391.5500000,987864
ROSN,D,20220512,000000,391.5500000,393.2500000,370.5000000,375.0000000,2160058
ROSN,D,20220513,000000,379.0000000,379.0000000,367.5000000,374.9500000,940034
ROSN,D,20220516,000000,374.9500000,383.0000000,374.0000000,378.8000000,1391245
ROSN,D,20220517,000000,382.9000000,395.4000000,381.1000000,394.7000000,2135854
ROSN,D,20220518,000000,397.4500000,406.0000000,395.7000000,404.0000000,2417912
ROSN,D,20220519,000000,402.9000000,405.9500000,395.1500000,399.6000000,906641
ROSN,D,20220520,000000,400.3500000,402.7000000,380.3000000,384.2500000,2036082
ROSN,D,20220523,000000,384.2500000,389.0000000,365.0000000,367.0500000,2574290
ROSN,D,20220524,000000,366.8500000,367.0000000,350.0000000,359.2000000,3587892
ROSN,D,20220525,000000,362.1500000,382.0000000,356.5000000,378.0000000,3703265
ROSN,D,20220526,000000,383.5500000,392.5500000,375.7000000,391.7000000,4912042
ROSN,D,20220527,000000,393.9500000,408.3000000,385.1500000,401.5000000,6106650
ROSN,D,20220530,000000,407.0500000,414.5000000,381.7500000,385.1000000,6965693
ROSN,D,20220531,000000,385.5500000,386.7000000,375.1500000,377.0000000,2615630
ROSN,D,20220601,000000,374.3500000,380.3500000,371.0000000,375.9500000,1984344
ROSN,D,20220602,000000,375.4000000,378.7000000,368.0000000,368.7500000,2216202
ROSN,D,20220603,000000,369.9500000,371.4500000,360.0000000,365.4500000,2198488
ROSN,D,20220606,000000,368.5500000,373.9000000,364.1000000,368.8000000,2844787
ROSN,D,20220607,000000,368.8000000,369.0000000,362.0500000,366.5500000,2149852
ROSN,D,20220608,000000,367.1000000,375.0000000,367.0000000,372.8500000,2236115
ROSN,D,20220609,000000,376.0000000,378.3000000,367.2500000,373.2500000,1803116
ROSN,D,20220610,000000,372.0000000,374.6000000,368.1000000,369.5000000,1493272
ROSN,D,20220614,000000,369.7000000,373.6000000,366.0000000,371.6000000,1515280
ROSN,D,20220615,000000,372.0500000,376.0500000,370.4000000,375.6500000,2355241
ROSN,D,20220616,000000,376.8000000,389.8000000,375.3500000,383.0000000,5980522
ROSN,D,20220617,000000,383.9500000,386.6500000,379.0000000,384.4500000,2393559
ROSN,D,20220620,000000,382.3000000,389.8000000,382.1000000,389.8000000,2156915
ROSN,D,20220621,000000,389.2000000,391.9000000,381.1000000,381.3000000,2809222
ROSN,D,20220622,000000,380.1500000,380.8000000,371.0500000,377.6000000,2693525
ROSN,D,20220623,000000,377.8500000,381.8500000,375.0000000,378.4000000,2266540
ROSN,D,20220624,000000,377.9000000,378.7000000,373.8000000,377.0000000,1491968
ROSN,D,20220627,000000,377.0000000,378.7500000,372.6000000,376.6500000,1274645
ROSN,D,20220628,000000,377.1000000,385.2000000,373.5500000,381.8500000,2959978
ROSN,D,20220629,000000,381.9500000,386.5000000,374.2500000,384.2000000,2922665
ROSN,D,20220630,000000,386.1000000,387.3500000,348.0500000,362.2500000,9739420
ROSN,D,20220701,000000,391.8500000,393.7000000,373.7500000,375.1500000,6666138
ROSN,D,20220704,000000,376.8500000,380.3500000,367.5000000,371.6000000,2460916
ROSN,D,20220705,000000,372.5000000,377.1500000,365.0500000,371.5000000,2645980
ROSN,D,20220706,000000,371.6000000,378.7000000,368.4000000,369.6500000,2481350
ROSN,D,20220707,000000,370.2000000,372.8000000,363.1000000,364.9500000,3717260
ROSN,D,20220708,000000,344.0000000,356.5000000,343.0500000,351.2000000,5583443
ROSN,D,20220711,000000,352.5500000,355.9000000,343.0500000,343.8000000,2394359
ROSN,D,20220712,000000,342.8500000,342.9000000,327.6000000,333.5000000,3576808
ROSN,D,20220713,000000,334.1000000,335.4500000,317.1000000,321.0000000,3985846
