<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20220401,000000,144.9900000,155.4000000,144.5100000,154.5000000,118603620
SBER,D,20220404,000000,158.7600000,166.8800000,150.2000000,166.0000000,115516920
SBER,D,20220405,000000,169.8300000,169.9000000,147.7600000,154.1000000,130008010
SBER,D,20220406,000000,143.5200000,153.3000000,140.6500000,141.6000000,108343440
SBER,D,20220407,000000,143.2000000,149.9000000,142.5000000,147.5000000,58520280
SBER,D,20220408,000000,149.0100000,151.0000000,141.0600000,143.7200000,48314240
SBER,D,20220411,000000,144.1200000,146.9800000,138.5000000,138.6900000,47482340
SBER,D,20220412,000000,138.8400000,140.1000000,130.3500000,135.3800000,75342120
SBER,D,20220413,000000,136.7800000,138.1400000,132.7200000,135.5000000,38947640
SBER,D,20220414,000000,135.7000000,135.8900000,129.0500000,129.0500000,44206040
SBER,D,20220415,000000,128.5500000,131.7200000,125.1200000,130.8800000,46693490
SBER,D,20220418,000000,131.4500000,132.6800000,123.7000000,123.8500000,58331430
SBER,D,20220419,000000,123.8500000,123.8500000,115.3600000,120.3000000,79797640
SBER,D,20220420,000000,120.9000000,125.4400000,117.5100000,121.5000000,66509740
SBER,D,20220421,000000,121.9700000,123.0500000,117.8500000,118.6500000,40607300
SBER,D,20220422,000000,118.6900000,122.3200000,115.5500000,116.9700000,57392470
SBER,D,20220425,000000,115.9500000,116.4000000,111.5000000,111.9000000,45714280
SBER,D,20220426,000000,112.5800000,124.9200000,111.9000000,122.3600000,83480680
SBER,D,20220427,000000,123.0100000,131.7300000,120.6000000,131.1100000,115400220
SBER,D,20220428,000000,132.1400000,134.5000000,123.0500000,123.8500000,123344490
SBER,D,20220429,000000,123.6000000,130.0000000,122.8000000,128.8000000,87296290
SBER,D,20220504,000000,129.1000000,131.5000000,122.5000000,123.2000000,67177440
SBER,D,20220505,000000,124.2100000,125.5400000,122.7500000,124.8000000,42303350
