<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,20220401,000000,2299.4000000,2460.0000000,2280.0000000,2325.0000000,2138371
YNDX,D,20220404,000000,2370.2000000,2420.0000000,2201.0000000,2285.0000000,1768864
YNDX,D,20220405,000000,2299.0000000,2340.0000000,2020.0000000,2158.4000000,1723047
YNDX,D,20220406,000000,2109.0000000,2145.0000000,2025.0000000,2070.8000000,1395892
YNDX,D,20220407,000000,2072.0000000,2246.2000000,2071.0000000,2130.0000000,1406513
YNDX,D,20220408,000000,2172.0000000,2188.6000000,2075.0000000,2115.0000000,620413
YNDX,D,20220411,000000,2120.8000000,2160.0000000,2071.0000000,2097.0000000,428052
YNDX,D,20220412,000000,2099.8000000,2115.0000000,1980.8000000,2074.0000000,471934
YNDX,D,20220413,000000,2081.0000000,2115.0000000,2050.0000000,2088.0000000,243959
YNDX,D,20220414,000000,2087.0000000,2099.2000000,1943.0000000,1945.2000000,511030
YNDX,D,20220415,000000,1955.8000000,1996.0000000,1900.2000000,1979.6000000,342649
YNDX,D,20220418,000000,1997.2000000,2019.2000000,1871.2000000,1880.2000000,419550
YNDX,D,20220419,000000,1885.0000000,1910.6000000,1732.2000000,1857.6000000,784163
YNDX,D,20220420,000000,1870.0000000,1890.0000000,1782.4000000,1789.8000000,780645
YNDX,D,20220421,000000,1798.2000000,1808.6000000,1642.8000000,1646.0000000,969505
YNDX,D,20220422,000000,1668.6000000,1695.0000000,1532.0000000,1692.0000000,1132432
YNDX,D,20220425,000000,1692.4000000,1698.0000000,1520.0000000,1520.8000000,816131
YNDX,D,20220426,000000,1520.2000000,1628.0000000,1500.0000000,1600.8000000,979187
YNDX,D,20220427,000000,1619.0000000,1770.0000000,1587.0000000,1748.6000000,914538
YNDX,D,20220428,000000,1761.0000000,1928.6000000,1717.0000000,1721.0000000,1223911
YNDX,D,20220429,000000,1735.0000000,1817.6000000,1734.2000000,1766.6000000,394680
YNDX,D,20220504,000000,1792.2000000,1813.6000000,1684.2000000,1699.0000000,368114
YNDX,D,20220505,000000,1717.8000000,1751.8000000,1703.0000000,1734.4000000,187108
YNDX,D,20220506,000000,1730.0000000,1731.4000000,1655.0000000,1688.0000000,199869
YNDX,D,20220511,000000,1688.2000000,1728.6000000,1634.0000000,1677.4000000,255168
YNDX,D,20220512,000000,1670.4000000,1681.2000000,1543.6000000,1594.0000000,259497
YNDX,D,20220513,000000,1604.6000000,1624.6000000,1574.2000000,1593.0000000,120870
YNDX,D,20220516,000000,1618.0000000,1679.0000000,1562.0000000,1638.2000000,265490
YNDX,D,20220517,000000,1658.2000000,1707.0000000,1649.8000000,1701.0000000,204637
YNDX,D,20220518,000000,1708.0000000,1795.0000000,1701.8000000,1715.8000000,321392
